예쁜;아름다운,멋진,고운
몸이;신체가
만든;제조한
나타나는;발생하는
음용했;마셨
오래전부터;예전부터
오래전부터;옛날부터
오래전에;예전에
오래전에;옛날에
동양에서;아시아에서
재배하는;가꾸는
재배되어;키워
약으로;약재로
사용;이용
다양하게;여러 가지
달리;다르게
시다르게는;시달리는
기온;온도
귀하게;소중하게
특히;각별히
했다.;했습니다.
했습니다.;했어요.
제거한;없앤
살짝;조금
이 밖에도;그밖에
이 밖에도;그밖에도
이 밖에도;또한

비교적;상당히
가진;갖고 있는
도움을 줄 수 효과가;도움을 줄수 효과가
직장인;회사원
드실 경우;섭취할 경우
드실경우;섭취할 경우
강화시켜;높여
강화시키는데;높이는 데
강화시키는 데;높이는 데
도움이 되는;효과가 있는
자주;수시로
즐겨;자주
피가;혈액이
탄력적으로;탄력있게
지금까지;여기까지
풍부하기;많기
높다고;많다고
저하;낮춤
증식;늘어난
독소;독성
조성;형성
풍부하기;많기
배출하여;밖으로 내보내
낮춰주고;내려주고
주름을 없애;주름을 펴
장의 활동;장운동
먹을수;섭취할 수
먹을 수;섭취할 수
섭취하는 것;먹는 것
바랍니다.;당부드립니다.
바랍니다.;부탁드립니다.
형태;모습
출시되는;나오는
좋다고;도움이 된다고
선풍적인;폭발적인

줄여주고;낮춰주고
다년생;여러해살이
사용되는;쓰이는
가장자리에;끝에
활용한;이용한
알려드릴;말씀드릴
굉장히;그렇게나
알려드리겠;말씀드리겠
피부를 하얗게 하는 효과;미백효과
요즘;최근
오랫동안;오래전부터
생성하여;만들어
활발히;활성화
방식;방법
치주;잇몸
연관성;상관
암 예방;암을 예방
암의 발병;암발생
으로 인하여;으로부터
손상된;상처난
회복하여;치유하여
알려주려고;공유하려고
알려드리려고;나누려고
알려;공유하려
공유하려진;알려진
공유하려져;알려져
쓴맛;씁쓸한맛
가지고있는;내는
지킬수;보호할수
지킬 수;보호할 수
따뜻한;뜨거운
추운;차가운
혈압 조절;혈압을 조절
혈압조절;혈압을 조절
혈당을 낮추는;혈당저하
인상적인;뛰어난
아니다.;아닙니다.
아닙니다.;아니에요.
맞다.;맞습니다.
맞습니다.;맞아요.
요인;이유
요인;근거
요인;까닭
언급했듯이;말했듯이
심각한;부정적인
관련된;연관된
고려하면;따지면
치명적;결정적
도와서;도와
간의 기능;간기능
피부노화;피부변화
피부 노화;피부 변화
체내;몸안
독성;나쁜물질
해독하는;없애는
특출;특별
만들어주기;유지해주기
섭취해도;먹어도
함량이 높아;많이들어있어
없애주며;제거하고
물론이고;뿐만 아니라
식단;메뉴
간식;새참
포함된;있는
자외선;햇빛
암세포;암물질
식중독;급성장염
당도가;당질이
캘리포니어린이;캘리포니아이
효과가;효력이
모발;머리카락
발육;성장
지킵니다;지켜줘요
들어 있어;포함 되어
장운동;장의 연동운동
장 운동;장의 연동운동
도움이 된다고;효과가 있다고
알려드리려고;나누고
공유하고;나누고
쓴맛;씁쓸한맛
내는;가지고있는
지킬수;보호할 수
따뜻한;뜨거운
하게되면;할때
뚜렷하지;명확히지
혈압조절;혈압을 조절
혈당을 낮추는;혈당저하
인상적인;뛰어난
아니다.;아닙니다.
아니다.;아니에요.
요인;이유
근거;까닭
언급했듯이;말했듯이
심각한;부정적인
안좋은;부정적인
줄일 수;낮출 수
고려하면;따지면
관련된;연관된
치명적일 수;부정적일 수
자제해야;피해야
으로 인하여;으로부터
자주;수시로
도와서;도와
간의 기능;간기능
피부노화;피부에 주름살
체내;신체
독성;나쁜물질
해독하는;없애는
특출;효과가
만들어주기;유지해주기
섭취해도;먹어도
함량이 높아;많이 들어있어
없애 주며;제거하고
물론이고;뿐만 아니라
식단;메뉴
간식;새참
포함된;있는
자외선;햇빛
따라서;그러므로
암세포;암물질
활동량;운동량
활동;운동
제한;억제
설탕;당분
다이어트에;체중감량에,체중감소에,식이요법에,건강에
삭여주고;제거하고

이점;장점
좋습니다.;효과가 있어요.
효능이;효과가
됩니다.;되요.
함유된;들어있는
강력한;강한
보호하고;지켜주고
억제하는;제한하는
입니다.;이에요. 왜냐하면
향상;증진
한다.;합니다.
제한;억제
보호하고;지켜주고
합니다.;해요.
나타났다.;나타났어요.
늘리는데;높이는데
늘리고;증가시키고
조사한;연구한
조사하고;연구하고
지연시킴으로;늦춤으로
이룹니다.;형성해요.
이루고;형성하고
함유;포함
때로는;가끔은
때론;가끔씩
과다 섭취하게 되면;많이 먹으면
신체에;인체에
발생할 수;일어날 수
피하는 것이;자제하는 것이
일어날 수;발생할 수
예로부터;오래전부터
몸의;신체의
양기를;기운을
좋은;효과가 있는
물질;성분
함유된;포함된
함유되어;포함되어
무력화시키는 데;없애는데
도움을 주기;효과가 있기
함유돼;포함돼
원인;이유
도움이 됩니다.;효과가 있어요.
튼튼하게;건강하게
높여줄;증가시켜줄
악화될 수도;일어날 수도
것이 좋습니다.;것을 권장합니다.
많이 섭취하게;많이 먹게
과다 섭취는;많이 먹는 것은

소화 효소;소화액
살펴보겠습니다.;알아보겠습니다.
개선하는 데;좋게하는 데
재배되는;자라는
기인합니다.;비롯됩니다.
그러나;하지만
간주합니다.;여겨집니다.
근거합니다.;기초하고 있습니다.
관한;대한
하나인;한가지인
지속되는;계속되는
조사하면서;연구하면서
억제하는;제한하는
보호하고;지켜주고
강력한;강한
향상시키는;증진시키는
향상시키며;증신시키며
억제하는;제한하는
줄이는;낮추는
가까이돼;육박해
영양분;영양소
가득;풍부하게
반드시;꼭
꼭;잊지말고
효과;작용
풍부한;높은
품종;종류
빈도;횟수
따라서;그래서
면역력을;면역체계를
면역력이;면역체계가
면역력은;면역체계는
보호하며;지켜주며
기관;장기
최상;최적
식이섬유가;섬유질이
칼로리가;열량이
기력;에너지
생선;물고기
발진;홍반
지방;기름
아무쪼록;가급적
되도록;가급적
겨우;가까스로
가끔;종종
가끔가다가;가끔가다
가능성;희망
신부;새색시
가려움증;피부소양증
신중히;조심히
혹시;가령
차단하다;가로막다
신진대사;대사작용
가로수;도로수
순서;질서
그냥;가만히
희망찬;밝은
희망;가망성
초능력;신통력
신호;사인
가볍게;가뿐히
가산세;추가비용
가산점;추가점
신화;미신
가솔린;기름
뜻;의미
중간;가운데
사실;실상
끝;가장자리
채팅방;대화방
경제적;실용적
실제로;실상
여러가지;가지각색
깨끗이;가지런히
가짜;거짓
여지없이;가차없이
실제;실지로
본질;실질
가치;값
각각;제각기
따로;각자
실패;좌절
실행;실시
관심;흥미
주목;관심
유난히;각별히
특히;각별히
특히;특별히
테스트;실험
실험;시험
시험;검사
각색;번안
제목;화제
제목;이야깃거리
화제;토픽
그런데;근데
그럼;그러면
각자;각각
각자;따로따로
심각;절박
중대;심중
가끔;간간이
때때로;이따금
간절히;간곡히
절실하게;간절하게
각광;주목
간단히;간략히
간단하게;단순하게
간편히;단출히
간편하게;손쉽게
겨우;간신히
겨우;간신히
겨우;가까스로
하다;합니다
있다;있습니다
있습니다면;있다면
있다;있어요
되다;됩니다
없다;없습니다
않다;않습니다
사람;인간
아니다;아닙니다
같습니다;맞습니다
줍니다;드립니다
대하여;관하여
때문;까닭
말합니다;뜻입니다
그러나;그래도
옵니다;느낍니다
알고 있습니다;느끼고 있습니다
그렇습니다;맞습니다
큽니다;높습니다
다시;또
사회;단체
많아요;풍부해요
많습니다;큽니다
좋아요;뛰어나요
좋습니다;낫습니다
그것;조것
따릅니다;지킵니다
그리고;다음으로
문제점;고칠점
문제;미해결
안쪽;내부
만들다;제작하다
만듭니다;제작합니다
만들고;제작하고
앞에서;전에
경우에;상황에
중에;가운데
어떤;무엇
잘 선택;옳은 선택
먹다;섭취하다
먹다;삼키다
먹습니다;섭취합니다
먹어요;섭취해요
가장자리;끝부분
간간이;이따금
간단;간결
가끔;간혹
간단;간략
간섭;참견
가끔;때때로
간절히;간곡히
간직하다;간수하다
가난;빈곤
간청;애원
간편하다;간단하다
가난;궁핍
간호;간병
간혹;혹간
가냘프다;얀약하다
감격;감동
감당;감내
가르다;쪼개다
감복;탄복
감사;고마움
가망;희망
감탄;찬탄
감흥;흥취
가뭄;가물
갑갑하다;답답하다
갑자기;별안간
가엾다;가엽다
강산;산천
강산;강토
가입;등록
강연;연설
강조;역설
가족;식구
같이;함께
개선;개량
가까;거짓
개시;시작
개척;개간
각가지;갖가지
개척;개발
개천;개울
각기;각각
거의;거지반
거저;공짜
각오;결심
거절;거부
걱정;근심
각지;각처
건설;건립
검소;검약
겨레;동족
결과;성과
검소;소박
겨레;민족
결과;결말
결렬;분열
결심;결의
결정;작정
결혼;혼례
결심;각오
결정;확정
결혼;혼인
경계;주의
경영;운영
않은 경우;않을때
경축;경하
경치;경관
경험;체험
계속;지속
경치;풍경
계절;철
계획;기획
고국;본국
고귀;존귀
고단하다;피곤하다
고국;조국
고맙다;감사하다
고발;고소
고생;고난
고저;높낮이
고향;향토
곡물;곡식
곡조;가락
곤란;곤경
곧잘;제법
골똘하다;골몰하다
공기;대기
공로;공적
공부;학습
공손;겸손
공포;선포
과실;과일
관계;상관
광고;선전
괴뢰;꼭두각시
관계;관련
괴상;기이
괴수;두목
교외;야외
괴상;이상
교원;교사
교회;예배당
구별;분별
구조;구원
국가;나라
구별;차별
국력;국세
국민;백성
국외;해외
국토;강토
군사;군인
군중;대중
국토;영도
군사;명사
군함;전함
굴복;항복
궁리;연구
궁전;궁궐
권고;권유
권력;권세
귀국;환국
귀양;유형
귀중;소중
규칙;규정
귀양;유배
그늘;응달
그러께;재작년
그림;회화
극히;매우
근래;근간
근원;근본
근처;근방
글자;문자
금년;올해
기갈;갈증
기구;도구
기금;자금
기능;기량
기도;기원
기력;원기
기로;갈림길
기름지다;비옥하다
기력;기운
기부;기증
기쁘다;즐겁다
기상;기백
기색;안색
기술;기예
기상;의기
기세;형세
기왕;이왕
기운;힘
기이;기묘
기준;표준
기운;기력
기절;졸도
기초;바탕
기호;부호
기절;실신
길손;나그네
까닭;연유
꽃밭;화단
끌다;당기다
까닭;이유
끝없이;한없이
낌새;기미
낌새;조짐
나라;국가
나루터;도선장
나이;연령
낙심;낙망
낙원;천국
날다;날아가다
낙심;실망
날래다;날쎄다
날씨;기후
낱낱이;일일이
내년;명년
날씨;일기
내막;내용
내부;내면
네모;사각
노고;수고
노래;가요
노력;진력
노예;종
노인;늙은이
노자;여비
노예;노비
논의;의논
놀이;유희
농사;농업
농부;농민
놀이;장난
농장;농원
농부;농사꾼
농지;농토
농촌;전원
누룽지;눌은밥
눈길;시선
눈부시다;휘황하다
눈치;낌새
능숙하다;능란하다
꾸준하게;반복해
겨울철에;겨울에
당신이;여러분께서
가운데;중에
어린이콘;아이콘
나느낍니다;나옵니다
재미있는;재미가 포함된
어려워진다.;어려워집니다.,어려워져요.
활발해진다.;활발해집니다.,활발해져요.
활발하다.;활발합니다.,활발해요.
건조해진다.;건조해집니다.,건조해져요.
일컫습니다.;일컫어요.,말합니다.,칭합니다.
풍부하며;많으며,많이 들어있으며
풍부한;많은,많이 들어있는
풍부합니다.;많습니다.,많이 들어있습니다.
풍부해요.;많아요.,많이 들어있어요.
풍부하게;다양하게,많이
풍부해서;다양해서,많아서
풍부하지만;많지만,많이 들어있지만
거다.;것 입니다.,것 이예요.
아니다.;아닙니다.,아니예요.
싶다.;싶습니다.,싶어요.
준다.;줍니다.,주어요.
줬다.;줬습니다.,줬어요.
온다.;옵니다.,와요.
본다.;봅니다.,봐요.
봤다.;봤습니다.,봤어요.
있다.;있습니다.
이다.;입니다.
겠다.;겠습니다.,겠어요.
없다.;없습니다.,없어요.
랐다.;랐습니다.,랐어요.
진다.;집니다.
하네요.;해요.,합니다
마른다.;마릅니다.,말라요.
운다.;웁니다.,울어요.
다툰다.;다툽니다.,다퉈요.
들어 있는;포함되어 있는,들어가 있는
효과를 보인다는;효과가 좋다는,효과가 나타난다는
확인됐습니다.;확인할 수 있습니다.,확인되고 있습니다.
밥을 먹거나;식사를 하거나,식사하거나,밥을 드시거나
늘어나고 있습니다.;증가하는 추세입니다.,늘어나고 있는 모습입니다.
판매하고 있습니다.;판매하고 있다고 합니다.,판매중에 있습니다.
좋을것 같습니다.;괜찮을 것 같습니다., 괜찮을 듯 합니다.,좋을 듯 합니다.
같습니다.;같아요.,같지요.
많이 계신 것 같은데;많으신데,많으실텐데
알려드리겠습니다.;알려드리도록 하겠습니다.,알려드릴게요.
효과적이어서;효과가 좋아서,효과가 상당해서,효과가 높아서
조심해야 합니다.;조심하는 것이 좋습니다.,주의해야 합니다.,주의하셔야 합니다.
보고돼요.;보고됩니다.,보고되고 있습니다.
해볼 수 있는;해볼만한,해 볼만한
 할 수 있도록; 할 수 있게, 하도록
드립니다.;드려요.,드리겠습니다.,드리도록 하겠습니다.
효과적이며;효과가 뛰어나며,효과가 대단하며
들어 있습니다.;들어 있어요.,함유되어 있습니다.
우리 몸에서;우리 신체에서,몸안에서
마치겠습니다.;마칠게요.,마치도록 하겠습니다.,마칩니다.
것이 좋아요.;편이 좋아요.,게 좋아요.
해 보겠습니다.;해 볼게요.,해볼게요.
보겠습니다.;볼게요.,보도록 할게요.
잃습니다.;잃어요.,잃게 돼요.,잃게 되어요.
봅시다.;볼게요.,보도록 합시다.
가격도 저렴하며;가격도 싸며,가격이 저렴하고
드리겠습니다.;드릴게요.,드리도록 할게요.
많습니다.;많아요.,많다고 해요.
도움이 되는;도움을 주는,도움되는,보탬이 되는
완화시킬 수;보완할 수,줄여줄 수
일으키는;발생시키는,유발시키는,유발하는
얻습니다.;얻어요.,얻게 돼요.,얻게 됩니다.
신속한;빠른,빠른 속도의

강력한; 강한, 엄청난
에 대해서는;에 대해선,에 관해서
대해서;대하여,연관하여,관련하여
에 대해;에 관해,에 관하여,에 대하여
합성한;합친,합해진
낮춰주고;감소시키고,저하시키고,낮추어주고
낮추어;낮춰,감소시켜
증가시키;늘려주
알레르기;알러지
낮습니다.;낮아요.
맑게하;맑게해주,맑게만드
감소하;떨어지,떨어트리,떨어뜨리
억제시켜;억제해
종류;가지 수,가짓수,부류
배출시켜;배출해
배출하고;내보내고,배출시키고
탁해지거나;걸쭉해지거나
원인이 되는;원인인,원인의
활성화;촉진
능력;역량,실력,재능
유지해;지속시켜,보존시켜
유지되면;지속되면,보존되면
맛도 좋고;맛이 있고,맛이 좋으며
필요한;필요로하는,요구되는
먹으면;먹게되면,먹을 경우
돕고;도와주고,도와주며
막아주고;방지하고,예방하고
막아주는;방지하는,예방하는
평소;평상시,일반적인 때
올바르게;제대로,알맞게
현재는;지금은,요즘은,요즘엔
유서;유언장
예로부터;옛날부터,예전부터,오래전부터
다양한;여러가지
각종;가지가지,갖가지
자세히;꼼꼼히,꼼꼼하게,면밀하게
안녕하십니까.;안녕하세요.
일상적으로;매일
즐기는;즐겨먹는
이야기해보려;이야기해볼까
섭취하고;먹고

